objective,chemistryType,chemistryMechanism,turbulenceModel,meshResolution,combustionModel
CH4MSE,0.08079826359664659,0.18550517511604894,0.2133810109727001,0.24255231409086564,0.27776323622373883
CO2MSE,0.01067056347934702,0.20146977547386055,0.20619704330183616,0.21680337995245338,0.3648592377925028
ContinuityErrors,0.20645313951842081,0.15585995430142005,0.3882529822420624,0.08539223979962093,0.1640416841384759
ExecutionTime,0.005927165158586633,0.2827782059919112,0.30787512075021106,0.09823327865483238,0.30518622944445867
TemperatureMSE,0.010989116019577926,0.03070867213585785,0.5724580266557394,0.0354414042430012,0.35040278094582356
VelocityMSE,0.010193666670923982,0.049750498082555064,0.1246759678297036,0.3651835000784872,0.4501963673383301
